conml,gvkey,Rating,state,year,PerCapitaIncome,GDP_per_capita,debt_at,debt_assets,debt_ebitda,cash_debt,ratio_year
Arrow Electronics Inc,1773,BBB-,Colorado,2015,52254,0.0583405603359469,0.21,0.653,2.389,0.081,2015
Southern Co Gas,1837,BBB+,Georgia,2015,41804,0.0506710896072849,0.308,0.725,3.497,0.059,2015
A V Homes Inc,1906,B-,Arizona,2015,39718,0.0437231575846351,0.431,0.595,23.941,-0.213,2015
Avery Dennison Corp,1913,BBB,California,2015,55833,0.0657700868581657,0.264,0.754,1.682,0.114,2015
Baker Hughes Inc,1976,A,Texas,2015,46553,0.0569483476844751,0.152,0.329,1.402,0.292,2015
Ball Corp,1988,BB+,Colorado,2015,52254,0.0583405603359469,0.425,0.838,2.983,0.16,2015
Bank of New York Mellon Corp (The),2019,A,New York,2015,59243,0.075586163611226,0.079,0.9,3.64,0.013,2015
Bard (C.R.) Inc,2044,A,New Jersey,2015,61153,0.0641767899206457,0.294,0.667,1.413,0.201,2015
Baxter International Inc,2086,A-,Illinois,2015,51753,0.0618501812711541,0.399,0.69,7.718,0.181,2015
Verizon Communications Inc,2136,BBB+,New York,2015,59243,0.075586163611226,0.476,0.945,3.04,0.14,2015
Bemis Co Inc,2154,BBB,Wisconsin,2015,46859,0.0532029321603766,0.381,0.624,2.372,0.114,2015
Berkshire Hathaway Inc,2176,AA,Nebraska,2015,50725,0.0611565095964261,0.156,0.539,1.857,0.113,2015
Bio-Rad Laboratories Inc,2220,BBB,California,2015,55833,0.0657700868581657,0.126,0.338,1.211,0.236,2015
Black Hills Corp,2259,BBB,South Dakota,2015,48678,0.0557742029162002,0.389,0.685,3.827,0.112,2015
Boeing Co,2285,A,Illinois,2015,51753,0.0618501812711541,0.092,0.924,0.905,0.098,2015
Bristol-Myers Squibb Co,2403,A+,New York,2015,59243,0.075586163611226,0.228,0.533,2.097,0.168,2015
Brunswick Corp,2444,BB+,Illinois,2015,51753,0.0618501812711541,0.147,0.603,0.926,0.121,2015
MasTec Inc.,2497,BB,Florida,2015,45273,0.0444234170031415,0.346,0.687,3.854,0.134,2015
Unisys Corp,2504,B+,Pennsylvania,2015,50407,0.0556743752320133,0.116,1.661,1.297,0.032,2015
Cigna Corp,2547,A,Connecticut,2015,68368,0.0731429541565634,0.095,0.802,1.229,0.044,2015
CNA Financial Corp,2558,BBB,Illinois,2015,51753,0.0618501812711541,0.046,0.775,2.384,0.034,2015
CSX Corp,2574,BBB+,Florida,2015,45273,0.0444234170031415,0.296,0.659,2.025,0.153,2015
Carlisle Cos Inc,2771,BBB,Arizona,2015,39718,0.0437231575846351,0.192,0.417,1.239,0.19,2015
Castle (A M) & Co,2811,CCC+,Illinois,2015,51753,0.0618501812711541,0.574,0.826,-8.093,-0.172,2015
Caterpillar Inc,2817,A,Illinois,2015,51753,0.0618501812711541,0.469,0.796,3.793,0.119,2015
Cleco Corp,2859,BBB+,Louisiana,2015,42900,0.0496828042879304,0.302,0.622,2.903,0.122,2015
Lumen Technologies Inc,2884,BB,Louisiana,2015,42900,0.0496828042879304,0.415,0.703,2.989,0.148,2015
Magellan Health Inc,2940,BBB-,Arizona,2015,39718,0.0437231575846351,0.125,0.466,1.358,0.221,2015
JPMorgan Chase & Co,2968,A-,New York,2015,59243,0.075586163611226,0.218,0.905,9.722,0.016,2015
Chevron Corp,2991,AA,California,2015,55833,0.0657700868581657,0.121,0.416,1.475,0.287,2015
Church & Dwight Co. Inc.,3026,BBB+,New Jersey,2015,61153,0.0641767899206457,0.261,0.532,1.447,0.237,2015
Churchill Downs Inc,3028,BB,Kentucky,2015,39199,0.0435653740553496,0.291,0.683,2.671,0.085,2015
Cincinnati Bell Inc,3036,B,Ohio,2015,44405,0.0524484858094154,0.948,1.303,5.302,0.071,2015
Cleveland-Cliffs Inc,3107,B,Ohio,2015,44405,0.0524484858094154,1.107,1.653,12.551,0.073,2015
Coca Cola Consolidated Inc,3138,BBB,North Carolina,2015,41839,0.050122223212422,0.361,0.826,3.372,0.078,2015
Coca-Cola Co (The),3144,AA,Georgia,2015,41804,0.0506710896072849,0.473,0.69,3.618,0.173,2015
Coeur Mining Inc,3153,B,Illinois,2015,51753,0.0618501812711541,0.318,0.607,-0.375,0.055,2015
Colgate-Palmolive Co,3170,AA-,New York,2015,59243,0.075586163611226,0.478,0.936,1.431,0.273,2015
Comcast Corp,3226,A-,Pennsylvania,2015,50407,0.0556743752320133,0.301,0.663,1.951,0.161,2015
Comerica Inc,3231,A-,Texas,2015,46553,0.0569483476844751,0.042,0.892,2.135,0.01,2015
Commerce Bancshares Inc,3238,A-,Missouri,2015,43153,0.0484109476505221,0.081,0.902,3.266,0.017,2015
Citigroup Inc,3243,BBB+,New York,2015,59243,0.075586163611226,0.258,0.881,14.347,0.028,2015
Avis Budget Group Inc,3278,BB-,New Jersey,2015,61153,0.0641767899206457,0.702,0.968,4.337,0.158,2015
Connecticut Water Service Inc,3394,A,Connecticut,2015,68368,0.0731429541565634,0.269,0.686,4.682,0.066,2015
Consolidated Edison Inc.,3413,A-,New York,2015,59243,0.075586163611226,0.296,0.712,3.883,0.089,2015
CMS Energy Corp,3439,BBB+,Michigan,2015,43477,0.0476402615258291,0.455,0.801,4.522,0.093,2015
Continental Resources Inc,3469,BBB-,Oklahoma,2015,44192,0.0471007545721959,0.439,0.682,3.067,0.33,2015
Cooper Tire & Rubber Co,3502,BB-,Ohio,2015,44405,0.0524484858094154,0.132,0.625,0.762,0.199,2015
Molson Coors Beverage Company,3505,BBB-,Colorado,2015,52254,0.0583405603359469,0.237,0.432,4.78,0.208,2015
Corning Inc,3532,BBB+,New York,2015,59243,0.075586163611226,0.123,0.288,1.281,0.56,2015
Crane Co.,3580,BBB,Connecticut,2015,68368,0.0731429541565634,0.252,0.686,1.865,0.111,2015
OneMain Holdings Inc,3592,B,Indiana,2015,42650,0.0498648088757044,0.67,0.813,8.18,0.043,2015
Chemtura Corp,3607,BB-,Pennsylvania,2015,50407,0.0556743752320133,0.218,0.606,2.192,-0.048,2015
Crown Holdings Inc,3619,BB,Pennsylvania,2015,50407,0.0556743752320133,0.567,0.964,4.725,0.098,2015
Cullen/Frost Bankers Inc,3643,A,Texas,2015,46553,0.0569483476844751,0.032,0.897,1.686,0.011,2015
Cummins Inc.,3650,A+,Indiana,2015,42650,0.0498648088757044,0.107,0.486,0.639,0.295,2015
Wendy's Co,3708,B,Ohio,2015,44405,0.0524484858094154,0.441,0.664,4.732,0.105,2015
Dana Inc,3734,BB+,Ohio,2015,44405,0.0524484858094154,0.343,0.767,2.466,0.136,2015
Danaher Corp,3735,A,District of Columbia,2015,75457,0.18485889843056,0.155,0.41,1.924,0.278,2015
Delta Air Lines Inc,3851,BB+,Georgia,2015,41804,0.0506710896072849,0.175,0.824,1.302,0.109,2015
Deluxe Corp,3863,BB,Minnesota,2015,52355,0.0607559021910124,0.311,0.588,1.211,0.269,2015
DTE Energy Co,3897,BBB+,Michigan,2015,43477,0.0476402615258291,0.326,0.696,3.594,0.094,2015
Dominion Energy Inc,4029,A-,Virginia,2015,52742,0.0579456978682122,0.48,0.773,5.137,0.081,2015
R.R. Donnelley & Sons Co,4040,BB-,Illinois,2015,51753,0.0618501812711541,0.493,0.913,3.324,0.103,2015
Dover Corp,4058,A,Illinois,2015,51753,0.0618501812711541,0.322,0.584,2.023,0.181,2015
DuPont  De Nemours Inc,4060,BBB,Delaware,2015,48017,0.0760134374216469,0.287,0.648,2.288,0.144,2015
Omnicom Group Inc.,4066,BBB+,New York,2015,59243,0.075586163611226,0.222,0.845,2.074,0.082,2015
E. I. du Pont de Nemours and Co,4087,A-,Delaware,2015,48017,0.0760134374216469,0.237,0.723,2.32,0.102,2015
Ducommun Inc,4091,B+,California,2015,55833,0.0657700868581657,0.381,0.645,5.702,0.109,2015
Duke Energy Corp,4093,A-,North Carolina,2015,41839,0.050122223212422,0.353,0.665,4.837,0.083,2015
Dun & Bradstreet Corp (The),4094,BBB-,New Jersey,2015,61153,0.0641767899206457,0.843,1.581,3.839,0.099,2015
Flowserve Corp.,4108,BBB,Texas,2015,46553,0.0569483476844751,0.3,0.652,1.922,0.189,2015
PerkinElmer Inc.,4145,BBB,Massachusetts,2015,63618,0.074059701852808,0.251,0.491,4.08,0.135,2015
Eastman Kodak Co,4194,B-,New York,2015,59243,0.075586163611226,0.287,0.899,2.913,-0.057,2015
Ecolab Inc.,4213,BBB+,Minnesota,2015,52355,0.0607559021910124,0.363,0.635,2.391,0.15,2015
El Paso Electric Co,4241,BBB,Texas,2015,46553,0.0569483476844751,0.392,0.683,5.218,0.117,2015
Empire District Electric Co.,4331,BBB,Missouri,2015,43153,0.0484109476505221,0.359,0.674,4.145,0.094,2015
Energen Corp.,4351,BB,Alabama,2015,38891,0.0412578696453489,0.156,0.412,2.195,0.259,2015
Equifax Inc.,4423,BBB+,Georgia,2015,41804,0.0506710896072849,0.319,0.516,1.625,0.253,2015
EQT Corp,4430,BBB,Pennsylvania,2015,50407,0.0556743752320133,0.246,0.449,1.985,0.249,2015
NewMarket Corp,4462,BBB+,Virginia,2015,52742,0.0579456978682122,0.289,0.657,0.901,0.29,2015
Exxon Mobil Corp,4503,AAA,Texas,2015,46553,0.0569483476844751,0.094,0.483,0.914,0.268,2015
FMC Corp.,4510,BBB,Pennsylvania,2015,50407,0.0556743752320133,0.34,0.694,5.378,0.099,2015
NextEra Energy Inc,4517,A-,Florida,2015,45273,0.0444234170031415,0.386,0.723,3.663,0.1,2015
Federal-Mogul Holdings Corp,4600,B-,Michigan,2015,43477,0.0476402615258291,0.391,0.863,5.46,0.045,2015
Ferro Corp.,4622,BB-,Ohio,2015,44405,0.0524484858094154,0.327,0.712,6.36,0.079,2015
Fifth Third Bancorp,4640,BBB+,Ohio,2015,44405,0.0524484858094154,0.126,0.888,5.233,0.017,2015
Regions Financial Corp,4674,BBB,Alabama,2015,38891,0.0412578696453489,0.049,0.861,2.354,0.02,2015
FirstMerit Corp,4678,BBB+,Ohio,2015,44405,0.0524484858094154,0.086,0.885,4.11,0.013,2015
Trustmark Corp,4685,BBB+,Mississippi,2015,35206,0.035278207484697,0.078,0.882,3.41,0.02,2015
M&T Bank Corp,4699,A-,New York,2015,59243,0.075586163611226,0.104,0.871,3.855,0.013,2015
U.S. Bancorp,4723,A+,Minnesota,2015,52355,0.0607559021910124,0.15,0.891,5.121,0.015,2015
First Horizon Corp,4737,BB+,Tennessee,2015,42626,0.0491048630212845,0.11,0.9,4.858,0.031,2015
Flowers Foods Inc.,4809,BBB,Georgia,2015,41804,0.0506710896072849,0.309,0.53,1.733,0.244,2015
Fluor Corp,4818,A-,Texas,2015,46553,0.0569483476844751,0.13,0.586,0.821,0.129,2015
Ford Motor Co,4839,BBB-,Michigan,2015,43477,0.0476402615258291,0.574,0.878,7.172,0.079,2015
Forest City Realty Trust Inc,4842,BB-,Ohio,2015,44405,0.0524484858094154,0.521,0.677,-27.104,0.04,2015
GATX Corp.,4941,BBB,Illinois,2015,51753,0.0618501812711541,0.622,0.814,6.706,0.08,2015
TEGNA Inc,4988,BB+,Virginia,2015,52742,0.0579456978682122,0.422,0.689,4.14,0.107,2015
General Dynamics Corp,5046,A+,Virginia,2015,52742,0.0579456978682122,0.104,0.667,0.758,0.16,2015
General Electric Co,5047,AA+,Massachusetts,2015,63618,0.074059701852808,0.538,0.8,20.562,0.054,2015
Ally Financial Inc,5072,BB+,Michigan,2015,43477,0.0476402615258291,0.477,0.903,12.628,0.025,2015
General Motors Co,5073,BBB-,Michigan,2015,43477,0.0476402615258291,0.281,0.804,3.348,0.071,2015
Glatfelter Corp,5179,BB+,North Carolina,2015,41839,0.050122223212422,0.257,0.582,2.637,0.109,2015
Goodyear Tire & Rubber Co,5234,BB,Ohio,2015,44405,0.0524484858094154,0.351,0.735,2.554,0.025,2015
Grace (W R) & Co,5250,BB+,Maryland,2015,57036,0.0619437740349194,0.565,0.91,6.212,-0.395,2015
Grainger (W.W.) Inc,5256,AA-,Illinois,2015,51753,0.0618501812711541,0.196,0.456,0.674,0.476,2015
Gray Television Inc.,5284,B+,Georgia,2015,41804,0.0506710896072849,0.613,0.822,5.559,0.081,2015
MoneyGram International Inc,5342,B+,Texas,2015,46553,0.0569483476844751,0.211,1.052,6.294,0.013,2015
GulfMark Offshore Inc,5379,B-,Texas,2015,46553,0.0569483476844751,0.338,0.451,7.664,0.206,2015
Halliburton Co,5439,A,Texas,2015,46553,0.0569483476844751,0.255,0.49,1.528,0.255,2015
Harsco Corp,5496,BB,Pennsylvania,2015,50407,0.0556743752320133,0.404,0.855,3.495,0.119,2015
Hasbro Inc.,5518,BBB,Rhode Island,2015,49939,0.053557972283903,0.398,0.656,2.141,0.15,2015
Hawaiian Electric Industries Inc.,5526,BBB-,Hawaii,2015,49489,0.0581160182609356,0.178,0.824,3.838,0.037,2015
Hecla Mining Co,5560,B,Idaho,2015,39783,0.0400240088331186,0.229,0.381,5.087,0.096,2015
The Kraft Heinz Co,5568,BBB-,Pennsylvania,2015,50407,0.0556743752320133,0.287,0.508,4.478,0.102,2015
Hershey Co (The),5597,A,Pennsylvania,2015,50407,0.0556743752320133,0.437,0.776,1.446,0.204,2015
Hertz Global Holdings Inc,5600,B+,Florida,2015,45273,0.0444234170031415,0.645,0.904,4.25,0.16,2015
Hexcel Corp,5608,BBB-,Connecticut,2015,68368,0.0731429541565634,0.234,0.444,1.24,0.359,2015
Hilton Worldwide Holdings Inc,5643,BB,Virginia,2015,52742,0.0579456978682122,0.434,0.812,4.689,0.064,2015
HollyFrontier Corp,5667,BBB-,Texas,2015,46553,0.0569483476844751,0.114,0.329,1.2,0.242,2015
Pinnacle Entertainment Inc.,5671,BB-,Nevada,2015,44314,0.0500722198832971,0.815,0.929,6.339,0.072,2015
Starwood Hotels & Resorts Worldwide Inc.,5723,BBB,Connecticut,2015,68368,0.0731429541565634,0.315,0.834,2.505,0.139,2015
CenterPoint Energy Inc.,5742,A-,Texas,2015,46553,0.0569483476844751,0.384,0.804,4.604,0.075,2015
Hubbell Inc,5764,A,Connecticut,2015,68368,0.0731429541565634,0.18,0.421,0.981,0.282,2015
J.B. Hunt Transport Services Inc.,5783,BBB+,Arkansas,2015,39513,0.0395340504921344,0.267,0.633,0.881,0.295,2015
Huntington Bancshares Inc,5786,BBB,Ohio,2015,44405,0.0524484858094154,0.106,0.905,4.787,0.015,2015
ITT Inc,5860,BBB-,New York,2015,59243,0.075586163611226,0.002,0.651,0.018,0.099,2015
Rayonier Inc.,5862,BBB-,Florida,2015,45273,0.0444234170031415,0.318,0.374,4.454,0.361,2015
IDACORP Inc.,5870,BBB,Idaho,2015,39783,0.0400240088331186,0.301,0.661,4.443,0.097,2015
Illinois Tool Works Inc.,5878,A+,Illinois,2015,51753,0.0618501812711541,0.464,0.664,2.286,0.149,2015
Vectren Corp,5918,A-,Indiana,2015,42650,0.0498648088757044,0.326,0.682,2.748,0.137,2015
Ryerson Holding Corp,5968,B-,Illinois,2015,51753,0.0618501812711541,0.624,1.066,6.083,-0.035,2015
Intel Corp,6008,A+,California,2015,55833,0.0657700868581657,0.165,0.381,0.657,0.58,2015
International Business Machines Corp,6066,AA-,New York,2015,59243,0.075586163611226,0.35,0.886,1.966,0.16,2015
International Flavors & Fragrances Inc,6078,BBB+,New York,2015,59243,0.075586163611226,0.28,0.566,1.455,0.263,2015
International Paper Co,6104,BBB,Tennessee,2015,42626,0.0491048630212845,0.326,0.831,2.535,0.131,2015
Interpublic Group of Cos Inc (The),6136,BBB-,New York,2015,59243,0.075586163611226,0.15,0.809,1.747,0.065,2015
Anixter International Inc,6196,BB,Illinois,2015,51753,0.0618501812711541,0.327,0.673,3.302,0.042,2015
EMCOR Group Inc.,6223,BBB-,Connecticut,2015,68368,0.0731429541565634,0.097,0.57,0.928,0.126,2015
Johnson & Johnson,6266,AAA,New Jersey,2015,61153,0.0641767899206457,0.146,0.466,0.851,0.301,2015
Kinder Morgan Inc.,6310,BBB-,Texas,2015,46553,0.0569483476844751,0.521,0.586,6.65,0.092,2015
Kaman Corp,6326,BB+,Connecticut,2015,68368,0.0731429541565634,0.223,0.557,1.76,0.155,2015
Great Plains Energy Inc,6334,BBB+,Missouri,2015,43153,0.0484109476505221,0.39,0.659,4.947,0.102,2015
Kansas City Southern,6335,BBB-,Missouri,2015,43153,0.0484109476505221,0.275,0.488,2.05,0.225,2015
Evergy Inc,6338,BBB+,Missouri,2015,43153,0.0484109476505221,0.343,0.669,3.909,0.117,2015
Kellogg Co,6375,BBB,Michigan,2015,43477,0.0476402615258291,0.502,0.822,4.682,0.146,2015
Kimberly-Clark Corp,6435,A,Texas,2015,46553,0.0569483476844751,0.491,0.955,1.959,0.197,2015
Kirby Corp,6461,A-,Texas,2015,46553,0.0569483476844751,0.19,0.458,1.324,0.234,2015
LSB Industries Inc,6528,B-,Oklahoma,2015,44192,0.0471007545721959,0.413,0.625,-35.963,0.095,2015
Leggett & Platt Inc,6649,BBB+,Missouri,2015,43153,0.0484109476505221,0.321,0.64,1.829,0.192,2015
Jefferies Financial Group Inc,6682,BBB-,New York,2015,59243,0.075586163611226,0.547,0.791,21.004,-0.024,2015
Eli Lilly and Co,6730,AA-,Indiana,2015,42650,0.0498648088757044,0.223,0.585,1.524,0.2,2015
Kate Spade & Co,6768,B+,New York,2015,59243,0.075586163611226,0.454,0.808,2.676,0.02,2015
Lockheed Martin Corp,6774,BBB+,Maryland,2015,57036,0.0619437740349194,0.201,0.919,1.364,0.115,2015
Loews Corp,6781,A+,New York,2015,59243,0.075586163611226,0.137,0.687,3.304,0.056,2015
Range Resources Corp.,6788,BB+,Texas,2015,46553,0.0569483476844751,0.385,0.615,4.618,0.18,2015
Louisiana-Pacific Corp,6821,BB-,Tennessee,2015,42626,0.0491048630212845,0.333,0.531,83.288,-0.043,2015
M.D.C. Holdings Inc.,6865,BB+,Colorado,2015,52254,0.0583405603359469,0.388,0.474,8.978,-0.145,2015
MDU Resources Group Inc.,6867,BBB+,North Dakota,2015,53762,0.0730295491376086,0.307,0.612,4.333,0.135,2015
Manitowoc Co Inc (The),6994,BB-,Wisconsin,2015,46859,0.0532029321603766,0.423,0.792,11.431,0.033,2015
Marathon Oil Corp,7017,BBB,Texas,2015,46553,0.0569483476844751,0.209,0.425,3.944,0.366,2015
Marsh & McLennan Companies Inc,7065,A-,New York,2015,59243,0.075586163611226,0.225,0.61,1.38,0.197,2015
Masco Corp,7085,BBB,Michigan,2015,43477,0.0476402615258291,0.541,0.914,3.532,0.1,2015
Mattel Inc.,7116,BBB,California,2015,55833,0.0657700868581657,0.354,0.58,2.888,0.236,2015
McDonald's Corp,7154,BBB+,Illinois,2015,51753,0.0618501812711541,0.485,0.679,1.829,0.314,2015
CVS Health Corp,7241,BBB+,Rhode Island,2015,49939,0.053557972283903,0.21,0.526,1.476,0.224,2015
Merck & Co Inc,7257,AA,New Jersey,2015,61153,0.0641767899206457,0.255,0.54,1.726,0.159,2015
Entergy Corp.,7366,BBB,Louisiana,2015,42900,0.0496828042879304,0.304,0.78,3.908,0.107,2015
Middlesex Water Co,7368,A,New Jersey,2015,61153,0.0641767899206457,0.272,0.654,3.374,0.087,2015
EXCO Resources Inc,7422,SD,Texas,2015,46553,0.0569483476844751,0.823,1.021,-1.76,0.196,2015
3M Co,7435,AA-,Minnesota,2015,52355,0.0607559021910124,0.263,0.586,0.979,0.366,2015
ALLETE Inc.,7437,BBB+,Minnesota,2015,52355,0.0607559021910124,0.31,0.623,3.659,0.098,2015
Motorola Solutions Inc,7585,BBB-,Illinois,2015,51753,0.0618501812711541,0.393,0.828,2.891,-0.077,2015
Murphy Oil Corp,7620,BBB,Texas,2015,46553,0.0569483476844751,0.205,0.486,-5.123,0.368,2015
Bank of America Corp,7647,BBB+,North Carolina,2015,41839,0.050122223212422,0.224,0.883,11.87,0.014,2015
NCR Corp,7648,BB+,Georgia,2015,41804,0.0506710896072849,0.423,0.785,4.161,0.078,2015
Tenet Healthcare Corp,7750,B,Texas,2015,46553,0.0569483476844751,0.65,0.907,5.94,0.041,2015
New York Times Co (The),7866,B+,New York,2015,59243,0.075586163611226,0.201,0.666,2.081,0.044,2015
Newell Brands Inc,7875,BBB-,Georgia,2015,41804,0.0506710896072849,0.404,0.736,2.896,0.131,2015
Newmont Corporation,7881,BBB,Colorado,2015,52254,0.0583405603359469,0.253,0.458,2.784,0.122,2015
Newpark Resources Inc.,7882,B+,Texas,2015,46553,0.0569483476844751,0.19,0.359,2.221,0.226,2015
Noble Energy Inc,7912,BBB,Texas,2015,46553,0.0569483476844751,0.282,0.52,6.607,0.287,2015
Norfolk Southern Corp,7923,BBB+,Virginia,2015,52742,0.0579456978682122,0.286,0.633,2.284,0.137,2015
Eversource Energy,7970,A,Massachusetts,2015,63618,0.074059701852808,0.331,0.656,4.018,0.083,2015
NiSource Inc,7974,BBB+,Indiana,2015,42650,0.0498648088757044,0.378,0.731,6.6,0.071,2015
Xcel Energy Inc.,7977,A-,Minnesota,2015,52355,0.0607559021910124,0.347,0.723,4.082,0.099,2015
Northern Trust Corp,7982,A+,Illinois,2015,51753,0.0618501812711541,0.063,0.924,2.569,0.009,2015
Northrop Grumman Corp,7985,BBB+,Virginia,2015,52742,0.0579456978682122,0.254,0.742,1.8,0.134,2015
Terex Corp,7991,BB,Connecticut,2015,68368,0.0731429541565634,0.317,0.673,2.974,0.106,2015
Northwest Natural Holding Co,7993,A+,Oregon,2015,45163,0.0504803535641288,0.282,0.742,3.843,0.094,2015
NorthWestern Corp,8001,BBB,South Dakota,2015,48678,0.0557742029162002,0.388,0.703,5.112,0.072,2015
Wells Fargo & Co,8007,A,California,2015,55833,0.0657700868581657,0.151,0.89,5.422,0.012,2015
Nucor Corp,8030,A-,North Carolina,2015,41839,0.050122223212422,0.294,0.474,2.327,0.178,2015
Occidental Petroleum Corp,8068,A,Texas,2015,46553,0.0569483476844751,0.142,0.382,-1.839,0.52,2015
Oceaneering International Inc.,8079,BBB,Texas,2015,46553,0.0569483476844751,0.225,0.533,1.051,0.389,2015
FirstEnergy Corp.,8099,BBB-,Ohio,2015,44405,0.0524484858094154,0.424,0.763,6.659,0.068,2015
OGE Energy Corp.,8113,A-,Oklahoma,2015,44192,0.0471007545721959,0.296,0.657,3.44,0.115,2015
Olin Corp,8123,BB+,Missouri,2015,43153,0.0484109476505221,0.249,0.617,2.286,0.094,2015
ONEOK Inc,8151,BB+,Oklahoma,2015,44192,0.0471007545721959,0.559,0.743,6.192,0.114,2015
Otter Tail Corp,8199,BBB,Minnesota,2015,52355,0.0607559021910124,0.3,0.677,3.285,0.092,2015
Overseas Shipholding Group Inc.,8210,B,Florida,2015,45273,0.0444234170031415,0.471,0.6,3.98,-0.324,2015
Owens & Minor Inc.,8213,BBB,Virginia,2015,52742,0.0579456978682122,0.224,0.643,2.208,-0.002,2015
Owens Corning,8214,BBB-,Ohio,2015,44405,0.0524484858094154,0.279,0.509,2.549,0.115,2015
O-I Glass Inc,8215,BB,Ohio,2015,44405,0.0524484858094154,0.517,0.868,4.259,0.103,2015
PHH Corp,8240,B+,New Jersey,2015,61153,0.0641767899206457,0.402,0.637,11.455,-0.004,2015
The PNC Financial Services Group Inc,8245,A-,Pennsylvania,2015,50407,0.0556743752320133,0.162,0.869,6.738,0.019,2015
PPG Industries Inc.,8247,A-,Pennsylvania,2015,50407,0.0556743752320133,0.253,0.702,1.804,0.124,2015
PACCAR Inc,8253,A+,Washington,2015,53870,0.0658466478783113,0.393,0.666,2.39,0.153,2015
PG&E Corp,8264,BBB,California,2015,55833,0.0657700868581657,0.264,0.734,3.072,0.083,2015
Sempra Energy,8272,BBB+,California,2015,55833,0.0657700868581657,0.363,0.692,4.776,0.078,2015
Parker Drilling Co,8357,B+,Texas,2015,46553,0.0569483476844751,0.393,0.567,3.153,0.237,2015
Parkway Properties Inc.,8363,BBB-,Florida,2015,45273,0.0444234170031415,0.496,0.549,49.543,0.026,2015
Goodrich Petroleum Corp.,8387,SD,Texas,2015,46553,0.0569483476844751,0.846,1.01,-2.577,0.165,2015
American Financial Group Inc,8431,BBB+,Ohio,2015,44405,0.0524484858094154,0.031,0.898,1.975,0.029,2015
Penn Virginia Corp,8440,CCC,Texas,2015,46553,0.0569483476844751,0.558,0.723,6.183,0.182,2015
PPL Corp,8455,A-,Pennsylvania,2015,50407,0.0556743752320133,0.472,0.727,5.396,0.097,2015
PepsiCo Inc,8479,A,New York,2015,59243,0.075586163611226,0.434,0.775,2.445,0.198,2015
Tutor Perini Corp,8486,BB-,California,2015,55833,0.0657700868581657,0.225,0.641,2.929,-0.024,2015
PDC Energy Inc,8512,B+,Colorado,2015,52254,0.0583405603359469,0.273,0.466,1.673,0.197,2015
PHI Inc,8515,BB-,Louisiana,2015,42900,0.0496828042879304,0.389,0.568,3.436,0.153,2015
Pfizer Inc,8530,AA,New York,2015,59243,0.075586163611226,0.222,0.587,2.006,0.173,2015
Exelon Corp,8539,BBB,Illinois,2015,51753,0.0618501812711541,0.272,0.72,3.473,0.071,2015
Altria Group Inc,8543,BBB+,Virginia,2015,52742,0.0579456978682122,0.418,0.915,1.626,0.148,2015
Conocophillips,8549,A,Texas,2015,46553,0.0569483476844751,0.213,0.562,2.808,0.26,2015
