,Company,gvkey,state,year,PerCapitaIncome,GDP_per_capita,debt_at,debt_assets,debt_ebitda,cash_debt,flood_count,heat_count,tornado_count,tropical_storm_count,wildfire_count,winter_storm_count,flood_crop,heat_crop,tornado_crop,tropical_storm_crop,wildfire_crop,winter_storm_crop,flood_property,heat_property,tornado_property,tropical_storm_property,wildfire_property,winter_storm_property,flood_injury,heat_injury,tornado_injury,tropical_storm_injury,wildfire_injury,winter_storm_injury,flood_death,heat_death,tornado_death,tropical_storm_death,wildfire_death,winter_storm_death,avg_tornado_scale,flood_dummy,heat_dummy,tornado_dummy,tropical_storm_dummy,wildfire_dummy,winter_storm_dummy,Rating_num
19,APA Corp,1678,Texas,2015,46553,0.0569483476844751,0.25,0.515,-2.479,0.304,175.0,49.0,258.0,20.0,40.0,131.0,97300000.0,0.0,290000.0,0.0,15000.0,0.0,43550500.0,0.0,116771000.0,0.0,650000.0,182000.0,0.0,1.0,708.0,0.0,1.0,0.0,5.0,3.0,17.0,0.0,0.0,0.0,1.5310077519379846,1,1,1,1,1,1,4
20,Archer-Daniels-Midland Co,1722,Illinois,2015,51753,0.0618501812711541,0.155,0.552,1.8869999999999998,0.203,98.0,46.0,83.0,0.0,1.0,83.0,1141000.0,0.0,95000.0,0.0,0.0,0.0,7375000.0,0.0,50995000.0,0.0,0.0,150000.0,0.0,0.0,27.0,0.0,0.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,1.7469879518072289,1,1,1,0,1,1,3
21,Arrow Electronics Inc,1773,Colorado,2015,52254,0.0583405603359469,0.21,0.653,2.3890000000000002,0.081,20.0,0.0,57.0,0.0,0.0,212.0,1615000.0,0.0,100000.0,0.0,0.0,0.0,7315000.0,0.0,229500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3508771929824561,1,0,1,0,0,1,4
22,Southern Co Gas,1837,Georgia,2015,41804,0.0506710896072849,0.308,0.725,3.497,0.059000000000000004,10.0,0.0,25.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,254000.0,0.0,743000.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,1,0,1,0,0,1,4
23,A V Homes Inc,1906,Arizona,2015,39718,0.0437231575846351,0.431,0.595,23.941,-0.213,6.0,2.0,5.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,0.0,0.0,0.0,550000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1,1,1,0,1,1,6
24,Avery Dennison Corp,1913,California,2015,55833,0.0657700868581657,0.264,0.754,1.682,0.114,31.0,1.0,10.0,0.0,34.0,5.0,0.0,0.0,200000.0,0.0,0.0,0.0,193000.0,0.0,20025000.0,0.0,1956000.0,0.0,0.0,1.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.3,1,1,1,0,1,1,4
25,Baker Hughes Inc,1976,Texas,2015,46553,0.0569483476844751,0.152,0.32899999999999996,1.402,0.292,175.0,49.0,258.0,20.0,40.0,131.0,97300000.0,0.0,290000.0,0.0,15000.0,0.0,43550500.0,0.0,116771000.0,0.0,650000.0,182000.0,0.0,1.0,708.0,0.0,1.0,0.0,5.0,3.0,17.0,0.0,0.0,0.0,1.5310077519379846,1,1,1,1,1,1,3
26,Ball Corp,1988,Colorado,2015,52254,0.0583405603359469,0.425,0.838,2.983,0.16,20.0,0.0,57.0,0.0,0.0,212.0,1615000.0,0.0,100000.0,0.0,0.0,0.0,7315000.0,0.0,229500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3508771929824561,1,0,1,0,0,1,5
27,Bank of New York Mellon Corp (The),2019,New York,2015,59243,0.075586163611226,0.079,0.9,3.64,0.013000000000000001,12.0,0.0,2.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,35000.0,0.0,0.0,695000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,1,0,0,1,3
28,Bard (C.R.) Inc,2044,New Jersey,2015,61153,0.0641767899206457,0.294,0.667,1.413,0.201,13.0,29.0,0.0,0.0,8.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205000.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,3
29,Baxter International Inc,2086,Illinois,2015,51753,0.0618501812711541,0.39899999999999997,0.69,7.718,0.18100000000000002,98.0,46.0,83.0,0.0,1.0,83.0,1141000.0,0.0,95000.0,0.0,0.0,0.0,7375000.0,0.0,50995000.0,0.0,0.0,150000.0,0.0,0.0,27.0,0.0,0.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,1.7469879518072289,1,1,1,0,1,1,3
30,Verizon Communications Inc,2136,New York,2015,59243,0.075586163611226,0.47600000000000003,0.945,3.04,0.14,12.0,0.0,2.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,35000.0,0.0,0.0,695000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,1,0,0,1,4
31,Bemis Co Inc,2154,Wisconsin,2015,46859,0.0532029321603766,0.381,0.624,2.372,0.114,15.0,0.0,21.0,0.0,2.0,86.0,0.0,0.0,2000.0,0.0,0.0,0.0,365000.0,0.0,518100.0,0.0,207000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1,0,1,0,1,1,4
32,Berkshire Hathaway Inc,2176,Nebraska,2015,50725,0.0611565095964261,0.156,0.539,1.857,0.113,50.0,0.0,29.0,0.0,3.0,146.0,30715000.0,0.0,0.0,0.0,0.0,0.0,213630000.0,0.0,6300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4482758620689655,1,0,1,0,1,1,2
33,Bio-Rad Laboratories Inc,2220,California,2015,55833,0.0657700868581657,0.126,0.33799999999999997,1.2109999999999999,0.23600000000000002,31.0,1.0,10.0,0.0,34.0,5.0,0.0,0.0,200000.0,0.0,0.0,0.0,193000.0,0.0,20025000.0,0.0,1956000.0,0.0,0.0,1.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.3,1,1,1,0,1,1,4
34,Black Hills Corp,2259,South Dakota,2015,48678,0.0557742029162002,0.389,0.685,3.827,0.11199999999999999,44.0,0.0,27.0,0.0,2.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,846000.0,0.0,1735000.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2222222222222223,1,0,1,0,1,1,4
35,Boeing Co,2285,Illinois,2015,51753,0.0618501812711541,0.092,0.924,0.905,0.098,98.0,46.0,83.0,0.0,1.0,83.0,1141000.0,0.0,95000.0,0.0,0.0,0.0,7375000.0,0.0,50995000.0,0.0,0.0,150000.0,0.0,0.0,27.0,0.0,0.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,1.7469879518072289,1,1,1,0,1,1,3
36,Bristol-Myers Squibb Co,2403,New York,2015,59243,0.075586163611226,0.228,0.5329999999999999,2.097,0.168,12.0,0.0,2.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,35000.0,0.0,0.0,695000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,1,0,0,1,3
37,Brunswick Corp,2444,Illinois,2015,51753,0.0618501812711541,0.147,0.603,0.9259999999999999,0.121,98.0,46.0,83.0,0.0,1.0,83.0,1141000.0,0.0,95000.0,0.0,0.0,0.0,7375000.0,0.0,50995000.0,0.0,0.0,150000.0,0.0,0.0,27.0,0.0,0.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,1.7469879518072289,1,1,1,0,1,1,5
38,MasTec Inc.,2497,Florida,2015,45273,0.0444234170031415,0.34600000000000003,0.687,3.8539999999999996,0.134,68.0,0.0,30.0,0.0,1.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,18083500.0,0.0,192000.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2666666666666666,1,0,1,0,1,0,5
39,Unisys Corp,2504,Pennsylvania,2015,50407,0.0556743752320133,0.11599999999999999,1.661,1.297,0.032,35.0,14.0,12.0,0.0,11.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,181000.0,0.0,5265000.0,0.0,3500.0,600000.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.5,1,1,1,0,1,1,6
40,Cigna Corp,2547,Connecticut,2015,68368,0.0731429541565634,0.095,0.802,1.229,0.044000000000000004,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,3
41,CNA Financial Corp,2558,Illinois,2015,51753,0.0618501812711541,0.046,0.775,2.384,0.034,98.0,46.0,83.0,0.0,1.0,83.0,1141000.0,0.0,95000.0,0.0,0.0,0.0,7375000.0,0.0,50995000.0,0.0,0.0,150000.0,0.0,0.0,27.0,0.0,0.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,1.7469879518072289,1,1,1,0,1,1,4
42,CSX Corp,2574,Florida,2015,45273,0.0444234170031415,0.29600000000000004,0.659,2.025,0.153,68.0,0.0,30.0,0.0,1.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,18083500.0,0.0,192000.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2666666666666666,1,0,1,0,1,0,4
43,Carlisle Cos Inc,2771,Arizona,2015,39718,0.0437231575846351,0.192,0.41700000000000004,1.239,0.19,6.0,2.0,5.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,0.0,0.0,0.0,550000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1,1,1,0,1,1,4
44,Castle (A M) & Co,2811,Illinois,2015,51753,0.0618501812711541,0.574,0.826,-8.093,-0.172,98.0,46.0,83.0,0.0,1.0,83.0,1141000.0,0.0,95000.0,0.0,0.0,0.0,7375000.0,0.0,50995000.0,0.0,0.0,150000.0,0.0,0.0,27.0,0.0,0.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,1.7469879518072289,1,1,1,0,1,1,7
45,Caterpillar Inc,2817,Illinois,2015,51753,0.0618501812711541,0.469,0.7959999999999999,3.793,0.11900000000000001,98.0,46.0,83.0,0.0,1.0,83.0,1141000.0,0.0,95000.0,0.0,0.0,0.0,7375000.0,0.0,50995000.0,0.0,0.0,150000.0,0.0,0.0,27.0,0.0,0.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,1.7469879518072289,1,1,1,0,1,1,3
46,Cleco Corp,2859,Louisiana,2015,42900,0.0496828042879304,0.302,0.622,2.903,0.122,14.0,34.0,29.0,0.0,4.0,10.0,500000.0,0.0,0.0,0.0,0.0,0.0,8711000.0,0.0,1167000.0,0.0,575000.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7586206896551724,1,1,1,0,1,1,4
47,Lumen Technologies Inc,2884,Louisiana,2015,42900,0.0496828042879304,0.415,0.703,2.989,0.14800000000000002,14.0,34.0,29.0,0.0,4.0,10.0,500000.0,0.0,0.0,0.0,0.0,0.0,8711000.0,0.0,1167000.0,0.0,575000.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7586206896551724,1,1,1,0,1,1,5
48,Magellan Health Inc,2940,Arizona,2015,39718,0.0437231575846351,0.125,0.466,1.358,0.221,6.0,2.0,5.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,0.0,0.0,0.0,550000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1,1,1,0,1,1,4
49,JPMorgan Chase & Co,2968,New York,2015,59243,0.075586163611226,0.218,0.905,9.722000000000001,0.016,12.0,0.0,2.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,35000.0,0.0,0.0,695000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,1,0,0,1,3
50,Chevron Corp,2991,California,2015,55833,0.0657700868581657,0.121,0.41600000000000004,1.475,0.287,31.0,1.0,10.0,0.0,34.0,5.0,0.0,0.0,200000.0,0.0,0.0,0.0,193000.0,0.0,20025000.0,0.0,1956000.0,0.0,0.0,1.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.3,1,1,1,0,1,1,2
51,Church & Dwight Co. Inc.,3026,New Jersey,2015,61153,0.0641767899206457,0.261,0.532,1.4469999999999998,0.237,13.0,29.0,0.0,0.0,8.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205000.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,4
52,Churchill Downs Inc,3028,Kentucky,2015,39199,0.0435653740553496,0.29100000000000004,0.6829999999999999,2.6710000000000003,0.085,314.0,66.0,17.0,0.0,0.0,193.0,70000.0,0.0,5000.0,0.0,0.0,0.0,2401500.0,0.0,770000.0,0.0,0.0,28000.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.411764705882353,1,1,1,0,0,1,5
53,Cincinnati Bell Inc,3036,Ohio,2015,44405,0.0524484858094154,0.948,1.3030000000000002,5.3020000000000005,0.071,116.0,0.0,7.0,0.0,0.0,76.0,275000.0,0.0,5000.0,0.0,0.0,0.0,13578000.0,0.0,890000.0,0.0,0.0,5050000.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.2857142857142858,1,0,1,0,0,1,6
54,Cleveland-Cliffs Inc,3107,Ohio,2015,44405,0.0524484858094154,1.107,1.653,12.550999999999998,0.073,116.0,0.0,7.0,0.0,0.0,76.0,275000.0,0.0,5000.0,0.0,0.0,0.0,13578000.0,0.0,890000.0,0.0,0.0,5050000.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.2857142857142858,1,0,1,0,0,1,6
55,Coca Cola Consolidated Inc,3138,North Carolina,2015,41839,0.050122223212422004,0.361,0.826,3.372,0.078,108.0,9.0,9.0,8.0,1.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,633500.0,0.0,227500.0,0.0,200000.0,9500000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5555555555555556,1,1,1,1,1,1,4
56,Coca-Cola Co (The),3144,Georgia,2015,41804,0.0506710896072849,0.473,0.69,3.6180000000000003,0.17300000000000001,10.0,0.0,25.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,254000.0,0.0,743000.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,1,0,1,0,0,1,2
57,Coeur Mining Inc,3153,Illinois,2015,51753,0.0618501812711541,0.318,0.607,-0.375,0.055,98.0,46.0,83.0,0.0,1.0,83.0,1141000.0,0.0,95000.0,0.0,0.0,0.0,7375000.0,0.0,50995000.0,0.0,0.0,150000.0,0.0,0.0,27.0,0.0,0.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,1.7469879518072289,1,1,1,0,1,1,6
58,Colgate-Palmolive Co,3170,New York,2015,59243,0.075586163611226,0.478,0.9359999999999999,1.431,0.273,12.0,0.0,2.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,35000.0,0.0,0.0,695000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,1,0,0,1,2
59,Comcast Corp,3226,Pennsylvania,2015,50407,0.0556743752320133,0.301,0.6629999999999999,1.9509999999999998,0.161,35.0,14.0,12.0,0.0,11.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,181000.0,0.0,5265000.0,0.0,3500.0,600000.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.5,1,1,1,0,1,1,3
60,Comerica Inc,3231,Texas,2015,46553,0.0569483476844751,0.042,0.892,2.135,0.01,175.0,49.0,258.0,20.0,40.0,131.0,97300000.0,0.0,290000.0,0.0,15000.0,0.0,43550500.0,0.0,116771000.0,0.0,650000.0,182000.0,0.0,1.0,708.0,0.0,1.0,0.0,5.0,3.0,17.0,0.0,0.0,0.0,1.5310077519379846,1,1,1,1,1,1,3
61,Commerce Bancshares Inc,3238,Missouri,2015,43153,0.0484109476505221,0.081,0.902,3.266,0.017,267.0,45.0,51.0,0.0,1.0,117.0,7500000.0,0.0,10000.0,0.0,0.0,0.0,267959000.0,0.0,2251000.0,0.0,0.0,204000.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.5098039215686274,1,1,1,0,1,1,3
62,Citigroup Inc,3243,New York,2015,59243,0.075586163611226,0.258,0.8809999999999999,14.347000000000001,0.027999999999999997,12.0,0.0,2.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,35000.0,0.0,0.0,695000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,1,0,0,1,4
63,Avis Budget Group Inc,3278,New Jersey,2015,61153,0.0641767899206457,0.7020000000000001,0.968,4.337,0.158,13.0,29.0,0.0,0.0,8.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205000.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,5
64,Connecticut Water Service Inc,3394,Connecticut,2015,68368,0.0731429541565634,0.26899999999999996,0.6859999999999999,4.6819999999999995,0.066,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,3
65,Consolidated Edison Inc.,3413,New York,2015,59243,0.075586163611226,0.29600000000000004,0.7120000000000001,3.883,0.08900000000000001,12.0,0.0,2.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,35000.0,0.0,0.0,695000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,1,0,0,1,3
